# Base de datos: dbSUPER
# Descripción: Super-enhancers con coordenadas, líneas celulares y genes diana
# Fuente: https://asntech.org/dbsuper/
# Dimensiones totales: 69205 filas, 7 columnas
# Filas en esta muestra: 200
# Estrategia: A_head (canónica del TFM)

# MUESTRA DE DATOS (formato TSV):
# Nota: '-' indica valor no disponible

chrom	 start	 stop	 se_id	 gene_symbol	 cell_name	 rank
chrX	64886466	64944339	SE_00139	MSN	Adipose Nuclei	139
chr11	85724162	85782597	SE_00140	PICALM	Adipose Nuclei	140
chr8	82387902	82412583	SE_00141	FABP4	Adipose Nuclei	141
chr10	81139024	81207473	SE_00142	ZCCHC24	Adipose Nuclei	142
chr2	227589031	227667917	SE_00143	IRS1	Adipose Nuclei	143
chr5	172259259	172339556	SE_00144	ERGIC1	Adipose Nuclei	144
chr2	46523122	46595093	SE_00145	EPAS1	Adipose Nuclei	145
chr11	114002065	114074418	SE_00146	ZBTB16	Adipose Nuclei	146
chr17	57405659	57479876	SE_00147	YPEL2	Adipose Nuclei	147
chr3	187443146	187468463	SE_00148	BCL6	Adipose Nuclei	148
chr7	129989436	130051674	SE_00149	CPA1	Adipose Nuclei	149
chr2	109149628	109212599	SE_00150	LIMS1	Adipose Nuclei	150
chr19	3334565	3410328	SE_00151	NFIC	Adipose Nuclei	151
chr12	102792147	102878805	SE_00152	IGF1	Adipose Nuclei	152
chr1	144964316	145035777	SE_00153	PDE4DIP	Adipose Nuclei	153
chr9	112536251	112587712	SE_00154	PALM2	Adipose Nuclei	154
chr8	12942965	13026901	SE_00155	DLC1	Adipose Nuclei	155
chr2	228516969	228585016	SE_00156	SLC19A3	Adipose Nuclei	156
chr1	109894479	109941641	SE_00157	PSMA5	Adipose Nuclei	157
chr18	46064337	46151825	SE_00158	CTIF	Adipose Nuclei	158
chr10	3815783	3829938	SE_00159	KLF6	Adipose Nuclei	159
chr21	43297306	43380008	SE_00160	C2CD2	Adipose Nuclei	160
chr4	159687696	159749529	SE_00161	FNIP2	Adipose Nuclei	161
chr15	42196454	42265801	SE_00162	EHD4	Adipose Nuclei	162
chr5	150135837	150182047	SE_00163	SMIM3	Adipose Nuclei	163
chr7	134828081	134857026	SE_00164	TMEM140	Adipose Nuclei	164
chr16	53075951	53175874	SE_00165	CHD9	Adipose Nuclei	165
chr2	189827579	189853730	SE_00166	COL3A1	Adipose Nuclei	166
chr17	57859239	57931953	SE_00167	MIR21	Adipose Nuclei	167
chr10	116363373	116490071	SE_00168	ABLIM1	Adipose Nuclei	168
chr18	46229136	46336294	SE_00169	SMAD7	Adipose Nuclei	169
chr20	48860807	48930471	SE_00170	LINC01270	Adipose Nuclei	170
chr2	87751194	87819799	SE_00171	LINC00152	Adipose Nuclei	171
chr2	112188123	112256428	SE_00172	MIR4435-1HG	Adipose Nuclei	172
chr9	75745718	75784110	SE_00173	ANXA1	Adipose Nuclei	173
chr9	137214672	137302437	SE_00174	RNU6ATAC	Adipose Nuclei	174
chr19	42899939	42942433	SE_00175	LIPE	Adipose Nuclei	175
chr2	75060681	75122798	SE_00176	POLE4	Adipose Nuclei	176
chr10	71208884	71252920	SE_00177	TSPAN15	Adipose Nuclei	177
chr12	27389693	27485059	SE_00178	STK38L	Adipose Nuclei	178
chr15	65121772	65198353	SE_00179	PLEKHO2	Adipose Nuclei	179
chrX	135225892	135297442	SE_00180	FHL1	Adipose Nuclei	180
chr9	19111271	19187411	SE_00181	PLIN2	Adipose Nuclei	181
chr1	235089787	235134749	SE_00182	TOMM20	Adipose Nuclei	182
chr8	38557617	38666457	SE_00183	TACC1	Adipose Nuclei	183
chr5	14143876	14220012	SE_00184	TRIO	Adipose Nuclei	184
chr1	32370158	32426716	SE_00185	PTP4A2	Adipose Nuclei	185
chr7	27153688	27196950	SE_00186	HOXA4	Adipose Nuclei	186
chr5	139014509	139059377	SE_00187	CXXC5	Adipose Nuclei	187
chr3	81765107	81813246	SE_00188	GBE1	Adipose Nuclei	188
chr6	148812210	148872723	SE_00189	SASH1	Adipose Nuclei	189
chr17	38439392	38506366	SE_00190	RARA	Adipose Nuclei	190
chr3	159478582	159601560	SE_00191	IFT80	Adipose Nuclei	191
chr11	128326149	128401251	SE_00192	ETS1	Adipose Nuclei	192
chr15	93438147	93462420	SE_00193	MIR3175	Adipose Nuclei	193
chr6	31780734	31800231	SE_00194	HSPA1B	Adipose Nuclei	194
chr2	161208059	161289809	SE_00195	RBMS1	Adipose Nuclei	195
chr3	111434862	111523742	SE_00196	PHLDB2	Adipose Nuclei	196
chr11	58938873	58995321	SE_00197	DTX4	Adipose Nuclei	197
chr11	86626700	86670285	SE_00198	FZD4	Adipose Nuclei	198
chr14	70053133	70196618	SE_00199	KIAA0247	Adipose Nuclei	199
chr1	64934715	65022732	SE_00200	CACHD1	Adipose Nuclei	200
