experiment,model,run,db_a,db_b,n_uris_a,n_uris_b,intersection,union,jaccard
E3,llama3.1_8b_legacy,2,DiseaseEnhancer,dbSUPER,56,56,56,56,1.0
E3,llama3.1_8b_legacy,2,FANTOM5,HACER,56,56,54,58,0.931
E3,llama3.1_8b_legacy,2,FANTOM5,dbSUPER,56,56,56,56,1.0
E3,llama3.1_8b_legacy,2,HACER,dbSUPER,56,56,54,58,0.931
E3,llama3.1_8b_legacy,3,DiseaseEnhancer,FANTOM5,40,56,38,58,0.6552
E3,llama3.1_8b_legacy,3,DiseaseEnhancer,HACER,40,56,40,56,0.7143
E3,llama3.1_8b_legacy,3,DiseaseEnhancer,dbSUPER,40,57,38,59,0.6441
E3,llama3.1_8b_legacy,3,FANTOM5,HACER,56,56,54,58,0.931
E3,llama3.1_8b_legacy,3,FANTOM5,dbSUPER,56,57,56,57,0.9825
E3,llama3.1_8b_legacy,3,HACER,dbSUPER,56,57,54,59,0.9153
E3,llama3.1_8b_ragapi,1,DiseaseEnhancer,FANTOM5,35,20,5,50,0.1
E3,llama3.1_8b_ragapi,1,DiseaseEnhancer,HACER,35,32,14,53,0.2642
E3,llama3.1_8b_ragapi,1,DiseaseEnhancer,dbSUPER,35,31,16,50,0.32
E3,llama3.1_8b_ragapi,1,FANTOM5,HACER,20,32,5,47,0.1064
E3,llama3.1_8b_ragapi,1,FANTOM5,dbSUPER,20,31,5,46,0.1087
E3,llama3.1_8b_ragapi,1,HACER,dbSUPER,32,31,14,49,0.2857
E3,llama3.1_8b_ragapi,2,DiseaseEnhancer,FANTOM5,42,27,5,64,0.0781
E3,llama3.1_8b_ragapi,2,DiseaseEnhancer,HACER,42,32,15,59,0.2542
E3,llama3.1_8b_ragapi,2,DiseaseEnhancer,dbSUPER,42,22,14,50,0.28
E3,llama3.1_8b_ragapi,2,FANTOM5,HACER,27,32,5,54,0.0926
E3,llama3.1_8b_ragapi,2,FANTOM5,dbSUPER,27,22,5,44,0.1136
E3,llama3.1_8b_ragapi,2,HACER,dbSUPER,32,22,14,40,0.35
E3,llama3.1_8b_ragapi,3,DiseaseEnhancer,FANTOM5,36,27,5,58,0.0862
E3,llama3.1_8b_ragapi,3,DiseaseEnhancer,HACER,36,32,15,53,0.283
E3,llama3.1_8b_ragapi,3,DiseaseEnhancer,dbSUPER,36,42,14,64,0.2188
E3,llama3.1_8b_ragapi,3,FANTOM5,HACER,27,32,5,54,0.0926
E3,llama3.1_8b_ragapi,3,FANTOM5,dbSUPER,27,42,5,64,0.0781
E3,llama3.1_8b_ragapi,3,HACER,dbSUPER,32,42,14,60,0.2333
E3,llama3.1_8b_ragapi_C1,1,DiseaseEnhancer,FANTOM5,28,27,13,42,0.3095
E3,llama3.1_8b_ragapi_C1,1,DiseaseEnhancer,HACER,28,28,9,47,0.1915
E3,llama3.1_8b_ragapi_C1,1,DiseaseEnhancer,dbSUPER,28,30,13,45,0.2889
E3,llama3.1_8b_ragapi_C1,1,FANTOM5,HACER,27,28,9,46,0.1957
E3,llama3.1_8b_ragapi_C1,1,FANTOM5,dbSUPER,27,30,13,44,0.2955
E3,llama3.1_8b_ragapi_C1,1,HACER,dbSUPER,28,30,9,49,0.1837
E3,llama3.1_8b_ragapi_C1,2,DiseaseEnhancer,FANTOM5,25,23,13,35,0.3714
E3,llama3.1_8b_ragapi_C1,2,DiseaseEnhancer,HACER,25,33,13,45,0.2889
E3,llama3.1_8b_ragapi_C1,2,DiseaseEnhancer,dbSUPER,25,36,13,48,0.2708
E3,llama3.1_8b_ragapi_C1,2,FANTOM5,HACER,23,33,13,43,0.3023
E3,llama3.1_8b_ragapi_C1,2,FANTOM5,dbSUPER,23,36,13,46,0.2826
E3,llama3.1_8b_ragapi_C1,2,HACER,dbSUPER,33,36,13,56,0.2321
E3,llama3.1_8b_ragapi_C1,3,DiseaseEnhancer,FANTOM5,27,31,12,46,0.2609
E3,llama3.1_8b_ragapi_C1,3,DiseaseEnhancer,HACER,27,39,12,54,0.2222
E3,llama3.1_8b_ragapi_C1,3,DiseaseEnhancer,dbSUPER,27,27,13,41,0.3171
E3,llama3.1_8b_ragapi_C1,3,FANTOM5,HACER,31,39,16,54,0.2963
E3,llama3.1_8b_ragapi_C1,3,FANTOM5,dbSUPER,31,27,12,46,0.2609
E3,llama3.1_8b_ragapi_C1,3,HACER,dbSUPER,39,27,13,53,0.2453
E3,llama3.1_8b_ragapi_C2,1,DiseaseEnhancer,FANTOM5,43,33,6,70,0.0857
E3,llama3.1_8b_ragapi_C2,1,DiseaseEnhancer,HACER,43,39,5,77,0.0649
E3,llama3.1_8b_ragapi_C2,1,DiseaseEnhancer,dbSUPER,43,32,11,64,0.1719
E3,llama3.1_8b_ragapi_C2,1,FANTOM5,HACER,33,39,5,67,0.0746
E3,llama3.1_8b_ragapi_C2,1,FANTOM5,dbSUPER,33,32,6,59,0.1017
E3,llama3.1_8b_ragapi_C2,1,HACER,dbSUPER,39,32,6,65,0.0923
E3,llama3.1_8b_ragapi_C2,2,DiseaseEnhancer,FANTOM5,40,36,5,71,0.0704
E3,llama3.1_8b_ragapi_C2,2,DiseaseEnhancer,HACER,40,21,5,56,0.0893
E3,llama3.1_8b_ragapi_C2,2,DiseaseEnhancer,dbSUPER,40,41,5,76,0.0658
E3,llama3.1_8b_ragapi_C2,2,FANTOM5,HACER,36,21,5,52,0.0962
E3,llama3.1_8b_ragapi_C2,2,FANTOM5,dbSUPER,36,41,6,71,0.0845
E3,llama3.1_8b_ragapi_C2,2,HACER,dbSUPER,21,41,6,56,0.1071
E3,llama3.1_8b_ragapi_C2,3,DiseaseEnhancer,FANTOM5,30,25,9,46,0.1957
E3,llama3.1_8b_ragapi_C2,3,DiseaseEnhancer,HACER,30,30,5,55,0.0909
E3,llama3.1_8b_ragapi_C2,3,DiseaseEnhancer,dbSUPER,30,26,5,51,0.098
E3,llama3.1_8b_ragapi_C2,3,FANTOM5,HACER,25,30,5,50,0.1
E3,llama3.1_8b_ragapi_C2,3,FANTOM5,dbSUPER,25,26,5,46,0.1087
E3,llama3.1_8b_ragapi_C2,3,HACER,dbSUPER,30,26,10,46,0.2174
E3,llama3.1_8b_ragapi_C3,1,DiseaseEnhancer,FANTOM5,28,28,13,43,0.3023
E3,llama3.1_8b_ragapi_C3,1,DiseaseEnhancer,HACER,28,16,5,39,0.1282
E3,llama3.1_8b_ragapi_C3,1,DiseaseEnhancer,dbSUPER,28,29,13,44,0.2955
E3,llama3.1_8b_ragapi_C3,1,FANTOM5,HACER,28,16,5,39,0.1282
E3,llama3.1_8b_ragapi_C3,1,FANTOM5,dbSUPER,28,29,13,44,0.2955
E3,llama3.1_8b_ragapi_C3,1,HACER,dbSUPER,16,29,5,40,0.125
E3,llama3.1_8b_ragapi_C3,2,DiseaseEnhancer,FANTOM5,26,27,5,48,0.1042
E3,llama3.1_8b_ragapi_C3,2,DiseaseEnhancer,HACER,26,36,5,57,0.0877
E3,llama3.1_8b_ragapi_C3,2,DiseaseEnhancer,dbSUPER,26,26,5,47,0.1064
E3,llama3.1_8b_ragapi_C3,2,FANTOM5,HACER,27,36,12,51,0.2353
E3,llama3.1_8b_ragapi_C3,2,FANTOM5,dbSUPER,27,26,13,40,0.325
E3,llama3.1_8b_ragapi_C3,2,HACER,dbSUPER,36,26,12,50,0.24
E3,llama3.1_8b_ragapi_C3,3,DiseaseEnhancer,FANTOM5,28,22,13,37,0.3514
E3,llama3.1_8b_ragapi_C3,3,DiseaseEnhancer,HACER,28,24,13,39,0.3333
E3,llama3.1_8b_ragapi_C3,3,DiseaseEnhancer,dbSUPER,28,39,13,54,0.2407
E3,llama3.1_8b_ragapi_C3,3,FANTOM5,HACER,22,24,13,33,0.3939
E3,llama3.1_8b_ragapi_C3,3,FANTOM5,dbSUPER,22,39,13,48,0.2708
E3,llama3.1_8b_ragapi_C3,3,HACER,dbSUPER,24,39,13,50,0.26
E4,llama3.1_8b,1,DiseaseEnhancer,FANTOM5,106,1,0,107,0.0
E4,llama3.1_8b,1,DiseaseEnhancer,HACER,106,2,0,108,0.0
E4,llama3.1_8b,1,DiseaseEnhancer,dbSUPER,106,1,0,107,0.0
E4,llama3.1_8b,1,FANTOM5,HACER,1,2,1,2,0.5
E4,llama3.1_8b,1,FANTOM5,dbSUPER,1,1,1,1,1.0
E4,llama3.1_8b,1,HACER,dbSUPER,2,1,1,2,0.5
E4,llama3.1_8b,2,DiseaseEnhancer,FANTOM5,106,1,0,107,0.0
E4,llama3.1_8b,2,DiseaseEnhancer,HACER,106,2,0,108,0.0
E4,llama3.1_8b,2,DiseaseEnhancer,dbSUPER,106,1,0,107,0.0
E4,llama3.1_8b,2,FANTOM5,HACER,1,2,1,2,0.5
E4,llama3.1_8b,2,FANTOM5,dbSUPER,1,1,1,1,1.0
E4,llama3.1_8b,2,HACER,dbSUPER,2,1,1,2,0.5
E4,llama3.1_8b,3,DiseaseEnhancer,FANTOM5,106,1,0,107,0.0
E4,llama3.1_8b,3,DiseaseEnhancer,HACER,106,2,0,108,0.0
E4,llama3.1_8b,3,DiseaseEnhancer,dbSUPER,106,1,0,107,0.0
E4,llama3.1_8b,3,FANTOM5,HACER,1,2,1,2,0.5
E4,llama3.1_8b,3,FANTOM5,dbSUPER,1,1,1,1,1.0
E4,llama3.1_8b,3,HACER,dbSUPER,2,1,1,2,0.5
E4,gpt-4o_A_head,1,FANTOM5,dbSUPER,22,17,4,35,0.1143
E4,gpt-4o_B_random,1,FANTOM5,dbSUPER,24,18,4,38,0.1053
E4,gpt-4o_C_stratified,1,FANTOM5,dbSUPER,24,17,4,37,0.1081
E4,gpt-4o_D_diversity,1,FANTOM5,dbSUPER,22,17,4,35,0.1143
