experiment,db_name,model,run,valid_turtle,n_triples,n_classes_generated,n_properties_generated,n_mappings_generated,n_classes_ref,n_properties_ref,n_mappings_ref,classes_matched,precision_classes,recall_classes,f1_classes,properties_matched,precision_properties,recall_properties,f1_properties,mappings_matched,mapping_precision,mapping_recall,n_with_label,coverage_annotations,global_score,file,error
E1,FANTOM5,gpt-4o:B:random,1,True,39,1,7,2,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,8,800.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/gpt-4o_B_random/ontology_run1.ttl,
E1,FANTOM5,gpt-4o:C:stratified,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/gpt-4o_C_stratified/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,FANTOM5,gpt-4o:D:diversity,1,True,45,3,7,1,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,10,333.3333,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/gpt-4o_D_diversity/ontology_run1.ttl,
E1,FANTOM5,llama3.1:8b,1,True,72,2,10,0,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,13,650.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b/ontology_run1.ttl,
E1,FANTOM5,llama3.1:8b,2,True,72,2,10,0,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,13,650.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b/ontology_run2.ttl,
E1,FANTOM5,llama3.1:8b,3,True,72,2,10,0,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,13,650.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b/ontology_run3.ttl,
E1,FANTOM5,llama3.1:8b:A:head,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b_A_head/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,FANTOM5,llama3.1:8b:B:random,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b_B_random/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,FANTOM5,llama3.1:8b:B:random,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b_B_random/ontology_run2.ttl,No se pudo parsear el Turtle generado
E1,FANTOM5,llama3.1:8b:B:random,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b_B_random/ontology_run3.ttl,No se pudo parsear el Turtle generado
E1,FANTOM5,llama3.1:8b:C:stratified,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b_C_stratified/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,FANTOM5,llama3.1:8b:C:stratified,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b_C_stratified/ontology_run2.ttl,No se pudo parsear el Turtle generado
E1,FANTOM5,llama3.1:8b:C:stratified,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b_C_stratified/ontology_run3.ttl,No se pudo parsear el Turtle generado
E1,FANTOM5,llama3.1:8b:D:diversity,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b_D_diversity/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,FANTOM5,llama3.1:8b:D:diversity,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b_D_diversity/ontology_run2.ttl,No se pudo parsear el Turtle generado
E1,FANTOM5,llama3.1:8b:D:diversity,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/FANTOM5/llama3.1_8b_D_diversity/ontology_run3.ttl,No se pudo parsear el Turtle generado
E1,HACER,gpt-4o,1,True,55,4,8,2,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,12,300.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/gpt-4o/ontology_run1.ttl,
E1,HACER,gpt-4o,2,True,47,4,8,5,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,12,300.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/gpt-4o/ontology_run2.ttl,
E1,HACER,gpt-4o,3,True,49,2,8,3,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,10,500.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/gpt-4o/ontology_run3.ttl,
E1,HACER,qwen2.5-coder:7b,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/qwen2.5-coder_7b/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,HACER,qwen2.5-coder:7b,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/qwen2.5-coder_7b/ontology_run2.ttl,No se pudo parsear el Turtle generado
E1,HACER,qwen2.5-coder:7b,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/HACER/qwen2.5-coder_7b/ontology_run3.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,gpt-4o,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/gpt-4o/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,gpt-4o,2,True,55,6,6,4,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,11,183.3333,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/gpt-4o/ontology_run2.ttl,
E1,dbSUPER,gpt-4o,3,True,63,5,9,3,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,14,280.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/gpt-4o/ontology_run3.ttl,
E1,dbSUPER,gpt-4o:A:head,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/gpt-4o_A_head/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,gpt-4o:B:random,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/gpt-4o_B_random/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,gpt-4o:C:stratified,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/gpt-4o_C_stratified/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,gpt-4o:D:diversity,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/gpt-4o_D_diversity/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,llama3.1:8b,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,llama3.1:8b,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b/ontology_run2.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,llama3.1:8b,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b/ontology_run3.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,llama3.1:8b:A:head,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b_A_head/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,llama3.1:8b:A:head,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b_A_head/ontology_run2.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,llama3.1:8b:A:head,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b_A_head/ontology_run3.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,llama3.1:8b:B:random,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b_B_random/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,llama3.1:8b:B:random,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b_B_random/ontology_run2.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,llama3.1:8b:B:random,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b_B_random/ontology_run3.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,llama3.1:8b:C:stratified,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b_C_stratified/ontology_run1.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,llama3.1:8b:C:stratified,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b_C_stratified/ontology_run2.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,llama3.1:8b:C:stratified,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b_C_stratified/ontology_run3.ttl,No se pudo parsear el Turtle generado
E1,dbSUPER,llama3.1:8b:D:diversity,1,True,85,3,12,0,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,16,533.3333,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b_D_diversity/ontology_run1.ttl,
E1,dbSUPER,llama3.1:8b:D:diversity,2,True,85,3,12,0,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,16,533.3333,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b_D_diversity/ontology_run2.ttl,
E1,dbSUPER,llama3.1:8b:D:diversity,3,True,85,3,12,0,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,16,533.3333,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E1/dbSUPER/llama3.1_8b_D_diversity/ontology_run3.ttl,
E2,DiseaseEnhancer,gpt-4o,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/DiseaseEnhancer/gpt-4o/ontology_run1.ttl,No se pudo parsear el Turtle generado
E2,DiseaseEnhancer,gpt-4o,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/DiseaseEnhancer/gpt-4o/ontology_run2.ttl,No se pudo parsear el Turtle generado
E2,DiseaseEnhancer,gpt-4o,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/DiseaseEnhancer/gpt-4o/ontology_run3.ttl,No se pudo parsear el Turtle generado
E2,DiseaseEnhancer,llama3.1:8b,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/DiseaseEnhancer/llama3.1_8b/ontology_run1.ttl,No se pudo parsear el Turtle generado
E2,DiseaseEnhancer,llama3.1:8b,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/DiseaseEnhancer/llama3.1_8b/ontology_run2.ttl,No se pudo parsear el Turtle generado
E2,DiseaseEnhancer,llama3.1:8b,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/DiseaseEnhancer/llama3.1_8b/ontology_run3.ttl,No se pudo parsear el Turtle generado
E2,DiseaseEnhancer,qwen2.5-coder:7b,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/DiseaseEnhancer/qwen2.5-coder_7b/ontology_run1.ttl,No se pudo parsear el Turtle generado
E2,DiseaseEnhancer,qwen2.5-coder:7b,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/DiseaseEnhancer/qwen2.5-coder_7b/ontology_run2.ttl,No se pudo parsear el Turtle generado
E2,DiseaseEnhancer,qwen2.5-coder:7b,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/DiseaseEnhancer/qwen2.5-coder_7b/ontology_run3.ttl,No se pudo parsear el Turtle generado
E2,FANTOM5,gpt-4o,1,True,76,6,11,0,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,17,283.3333,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/FANTOM5/gpt-4o/ontology_run1.ttl,
E2,FANTOM5,gpt-4o,2,True,76,6,11,0,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,17,283.3333,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/FANTOM5/gpt-4o/ontology_run2.ttl,
E2,FANTOM5,gpt-4o,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/FANTOM5/gpt-4o/ontology_run3.ttl,No se pudo parsear el Turtle generado
E2,FANTOM5,llama3.1:8b,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/FANTOM5/llama3.1_8b/ontology_run1.ttl,No se pudo parsear el Turtle generado
E2,FANTOM5,llama3.1:8b,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/FANTOM5/llama3.1_8b/ontology_run2.ttl,No se pudo parsear el Turtle generado
E2,FANTOM5,llama3.1:8b,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/FANTOM5/llama3.1_8b/ontology_run3.ttl,No se pudo parsear el Turtle generado
E2,HACER,gpt-4o,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/HACER/gpt-4o/ontology_run1.ttl,No se pudo parsear el Turtle generado
E2,HACER,gpt-4o,2,True,54,5,7,0,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,13,260.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/HACER/gpt-4o/ontology_run2.ttl,
E2,HACER,gpt-4o,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/HACER/gpt-4o/ontology_run3.ttl,No se pudo parsear el Turtle generado
E2,HACER,llama3.1:8b,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/HACER/llama3.1_8b/ontology_run1.ttl,No se pudo parsear el Turtle generado
E2,HACER,llama3.1:8b,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/HACER/llama3.1_8b/ontology_run2.ttl,No se pudo parsear el Turtle generado
E2,HACER,llama3.1:8b,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/HACER/llama3.1_8b/ontology_run3.ttl,No se pudo parsear el Turtle generado
E2,HACER,qwen2.5-coder:7b,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/HACER/qwen2.5-coder_7b/ontology_run1.ttl,No se pudo parsear el Turtle generado
E2,HACER,qwen2.5-coder:7b,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/HACER/qwen2.5-coder_7b/ontology_run2.ttl,No se pudo parsear el Turtle generado
E2,HACER,qwen2.5-coder:7b,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/HACER/qwen2.5-coder_7b/ontology_run3.ttl,No se pudo parsear el Turtle generado
E2,dbSUPER,gpt-4o,1,True,63,5,9,0,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,14,280.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/gpt-4o/ontology_run1.ttl,
E2,dbSUPER,gpt-4o,2,True,65,7,11,0,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0,0.0,18,257.1429,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/gpt-4o/ontology_run2.ttl,
E2,dbSUPER,gpt-4o,3,True,71,4,11,1,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,16,400.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/gpt-4o/ontology_run3.ttl,
E2,dbSUPER,llama3.1:8b,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/llama3.1_8b/ontology_run1.ttl,No se pudo parsear el Turtle generado
E2,dbSUPER,llama3.1:8b,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/llama3.1_8b/ontology_run2.ttl,No se pudo parsear el Turtle generado
E2,dbSUPER,llama3.1:8b,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/llama3.1_8b/ontology_run3.ttl,No se pudo parsear el Turtle generado
E2,dbSUPER,qwen2.5-coder:7b,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/qwen2.5-coder_7b/ontology_run1.ttl,No se pudo parsear el Turtle generado
E2,dbSUPER,qwen2.5-coder:7b,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/qwen2.5-coder_7b/ontology_run2.ttl,No se pudo parsear el Turtle generado
E2,dbSUPER,qwen2.5-coder:7b,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E2/dbSUPER/qwen2.5-coder_7b/ontology_run3.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,gpt-4o,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/gpt-4o/ontology_run1.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,gpt-4o,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/gpt-4o/ontology_run2.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,gpt-4o,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/gpt-4o/ontology_run3.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,gpt-4o:legacy,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/gpt-4o_legacy/ontology_run1.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,gpt-4o:legacy,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/gpt-4o_legacy/ontology_run2.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,gpt-4o:legacy,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/gpt-4o_legacy/ontology_run3.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,gpt-4o:ragapi,1,True,38,3,3,1,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/gpt-4o_ragapi/ontology_run1.ttl,
E3,DiseaseEnhancer,gpt-4o:ragapi,2,True,58,3,4,3,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/gpt-4o_ragapi/ontology_run2.ttl,
E3,DiseaseEnhancer,gpt-4o:ragapi,3,True,48,4,4,3,6,0,2,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0.0,0,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/gpt-4o_ragapi/ontology_run3.ttl,
E3,DiseaseEnhancer,llama3.1:8b,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/llama3.1_8b/ontology_run1.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,llama3.1:8b,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/llama3.1_8b/ontology_run2.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,llama3.1:8b,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/llama3.1_8b/ontology_run3.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,llama3.1:8b:C1,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/llama3.1_8b_C1/ontology_run1.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,llama3.1:8b:C1,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/llama3.1_8b_C1/ontology_run2.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,llama3.1:8b:C1,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/llama3.1_8b_C1/ontology_run3.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,llama3.1:8b:C2,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/llama3.1_8b_C2/ontology_run1.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,llama3.1:8b:C2,2,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/llama3.1_8b_C2/ontology_run2.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,llama3.1:8b:C2,3,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/llama3.1_8b_C2/ontology_run3.ttl,No se pudo parsear el Turtle generado
E3,DiseaseEnhancer,llama3.1:8b:C3,1,False,0,,,,,,,,,,,,,,,,,,,,,/Users/franciscosaez/Documents/Claude/Projects/TFM/results/E3/DiseaseEnhancer/llama3.1_8b_C3/ontology_run1.ttl,No se pudo parsear el Turtle generado
