# Base de datos: ENdb
# Descripción: Enhancers validados experimentalmente con evidencias ChIP-seq
# Fuente: http://www.licpathway.net/ENdb/
# Dimensiones totales: [ver informe de exploración]
# Número de columnas: 30
# Filas en esta muestra: 25

# MUESTRA DE DATOS (formato TSV):
# Nota: '-' indica valor no disponible

crm_ID	orig_chr	orig_start	orig_end	orig_assembly	current_chr	current_start	current_end	current_assembly	minimum_ratio	score	original_ID	crossref	enh_PMID	biosample_name	enh_method	type	source	hgnc_symbol_target_genes	enh2gene_PMID	enh2gene_method	uniprot_TFs	TFs2enh_PMID	TFs2enh_method	disease	disease_PMID	disease_method	refsnp_ID	mutation_PMID	mutation_method
CRMHS00000005512	chr2	113595983	113598617	hg19	chr2	112838406	112841040	hg38	0.95	1.0	E_01_059	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_059	21402921	THP-1	ChIP-qPCR	enhancer	ENdb	IL1B	21402921	ChIP-qPCR	P17947	21402921	ChIP	-	-	-	-	-	-
CRMHS00000005545	chr21	36180372	36181392	hg19	chr21	34808075	34809095	hg38	0.95	1.0	E_01_007	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_007	26374622	Leukemia Cell Lines	DNaseI hypersensitivity	enhancer	ENdb	RUNX1	26374622	Luciferase Reporter Assay	P17947	26374622	EMSA	DOID:9119	26374622	-	rs2268276	26374622	EMSA
CRMHS00000005563	chr22	42411769	42414470	hg19	chr22	42015765	42018466	hg38	0.95	1.0	E_01_191	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_191	25381333	Human Primary Hepatocytes	4C	enhancer	ENdb	CYP2D6	25381333	ChIP	-	-	-	-	-	-	rs5758550	25381333	4C
CRMHS00000005352	chr1	67739940	67741075	hg19	chr1	67274257	67275392	hg38	0.95	1.0	E_01_378	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_378	26916345	Lymphoblastoid Cell Lines	DNase I Hypersensitivity Assay	enhancer	ENdb	IL23R	26916345	DNase I Hypersensitivity Assay	-	-	-	mesh:D013167	26919345	-	rs11209026	26916345	DNase I Hypersensitivity Assay
CRMHS00000005426	chr12	48368875	48369590	hg19	chr12	47975092	47975807	hg38	0.95	1.0	E_01_180	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_180	25081415	10T1/2	Luciferase Reporter Assay	enhancer	ENdb	COL2A1	25081415	ChIP	P35712	25081415	RT-PCR	mesh:D010003	25081415	-	-	-	-
CRMHS00000005443	chr13	27523026	27544353	hg19	chr13	26948889	26970216	hg38	0.95	1.0	E_01_016	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_016	26656844	Colon Crypt Cell	Luciferase Reporter Assay	super-enhancer	ENdb	USP12	26656844	ChIP-seq	-	-	-	DOID:0080199	26656844	-	-	-	-
CRMHS00000005414	chr11	8271697	8279492	hg19	chr11	8250150	8257945	hg38	0.95	1.0	E_01_233	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_233	26560027	Neuroblastoma Cell Lines	ChIP-seq	super-enhancer	ENdb	LMO1	26560027	ChIP-seq	P23771	26560027	Luciferase Reporter Assay	mesh:D009447	26560027	-	-	-	-
CRMHS00000005464	chr15	66074477	66098025	hg19	chr15	65782139	65805687	hg38	0.95	1.0	E_01_311	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_311	29507293	Erythroleukemia Cell	ChIP-seq	super-enhancer	ENdb	SMYD3	29507293	CRISPR/Cas9	Q9UH73	29507293	ChIP-seq	-	-	-	-	-	-
CRMHS00000005564	chr3	107662655	107762655	hg19	chr3	107943808	108043808	hg38	0.95	1.0	E_01_303	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_303	28378740	MCF-7	ChIA-PET	super-enhancer	ENdb	CD47	28378740	Luciferase Reporter Assay	P19838	28378740	shRNA	DOID:1612	28378740	-	-	-	-
CRMHS00000005479	chr17	31209116	31240452	hg19	chr17	32882098	32913434	hg38	0.95	1.0	E_01_312	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_312	29507293	B lymphoblastoid Cell	CRISPR/Cas9	super-enhancer	ENdb	MYO1D	29507293	CRISPR/Cas9	Q9UH73	29507293	ChIP-seq	-	-	-	-	-	-
CRMHS00000005447	chr13	73880413	74042621	hg19	chr13	73306276	73468484	hg38	0.95	1.0	E_01_015	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_015	26656844	Esophageal Carcinoma	CRISPR/Cas9	super-enhancer	ENdb	KLF5	26656844	ChIP-seq	Q16236	26656844	ChIP-seq	mesh:D000077192	26656844	-	-	-	-
CRMHS00000005464	chr15	66074477	66098025	hg19	chr15	65782139	65805687	hg38	0.95	1.0	E_01_311	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_311	29507293	Erythroleukemia Cell	Hi-C	super-enhancer	ENdb	MYO1D	29507293	CRISPR/Cas9	P15976	29507293	ChIP-seq	-	-	-	-	-	-
CRMHS00000005380	chr11	110716521	110832306	hg19	chr11	110845798	110961582	hg38	0.95	0.9999914	E_01_146	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_146	24332044	B-Cell Lymphoma Cell Lines	ChIP-seq	super-enhancer	ENdb	POU2AF1	24332044	ChIP-seq	Q01094	24332044	ChIP-seq	DOID:0050745	24332044	-	-	-	-
CRMHS00000005384	chr11	17666830	17677080	hg19	chr11	17645283	17655533	hg38	0.95	1.0	E_01_272	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_272	28446439	Human Fibroblast Cell Lines	Luciferase Reporter Assay	super-enhancer	ENdb	MYOD1	28446439	Luciferase Reporter Assay	P23760	28446439	ChIP-qPCR	mesh:D018232	28446439	-	-	-	-
CRMHS00000005447	chr13	73880413	74042621	hg19	chr13	73306276	73468484	hg38	0.95	1.0	E_01_015	http://www.licpathway.net/ENdb/search/Detail.php?Species=Human&Enhancer_id=E_01_015	26656844	Esophageal Carcinoma	ChIP-seq	super-enhancer	ENdb	KLF5	26656844	ChIP-seq	P17676	26656844	siRNA	DOID:3910	26656844	-	-	-	-
